Département (Champ géographique),Code Commune (Champ géographique),Nom Commune (Champ géographique),Section (Références cadastrales),Bâtiment (Identification du local),N° voirie (Adresse du local),Indice de répétition (Adresse du local),Nature voie (Adresse du local),Nom voie (Adresse du local),N° MAJIC (Propriétaire(s) du local),N° SIREN (Propriétaire(s) du local),Forme juridique (Propriétaire(s) du local),Forme juridique abrégée (Propriétaire(s) du local),Dénomination (Propriétaire(s) du local),Adresse
33,63,BORDEAUX,AB,B,199.0,T,QUAI,DE BRAZZA,PBC6HF,458204963,5546,SA,DOMOFRANCE,199 QUAI DE BRAZZA
33,63,BORDEAUX,AB,B,199.0,T,QUAI,DE BRAZZA,PBHMSZ,263300626,7361,CCAS,CENTRE COMMUNAL DACTION SOCIALE,199 QUAI DE BRAZZA
33,63,BORDEAUX,AB,A,4.0,,IMPASSE,MARTIN VIDEAU,PBC6HF,458204963,5546,SA,DOMOFRANCE,4 IMPASSE MARTIN VIDEAU
33,63,BORDEAUX,AB,A,202.0,,QUAI,DE BRAZZA,PBJKGC,504405416,6540,SCI,ALONSO SARRAUTE,202 QUAI DE BRAZZA
33,63,BORDEAUX,AB,B,201.0,T,QUAI,DE BRAZZA,PBJPHV,833681711,6540,SCI,KIPARISSE,201 QUAI DE BRAZZA
33,63,BORDEAUX,AB,A,202.0,B,QUAI,DE BRAZZA,PBJKGC,504405416,6540,SCI,ALONSO SARRAUTE,202 QUAI DE BRAZZA
33,63,BORDEAUX,AB,B,202.0,B,QUAI,DE BRAZZA,PBJKGC,504405416,6540,SCI,ALONSO SARRAUTE,202 QUAI DE BRAZZA
33,63,BORDEAUX,AB,A,190.0,,QUAI,DE BRAZZA,PBHR3B,316514660,5710,SAS,PRODUITS JOCK SA,190 QUAI DE BRAZZA
33,63,BORDEAUX,AB,A,164.0,,QUAI,DE BRAZZA,PBGTJM,413074709,6540,SCI,LARREY,164 QUAI DE BRAZZA
33,63,BORDEAUX,AB,B,179.0,,QUAI,DE BRAZZA,PBDF84,421761289,6540,SCI,SCI DU TRIANGLE,179 QUAI DE BRAZZA
33,63,BORDEAUX,AB,C,179.0,,QUAI,DE BRAZZA,PBDF84,421761289,6540,SCI,SCI DU TRIANGLE,179 QUAI DE BRAZZA
33,63,BORDEAUX,AB,D,179.0,,QUAI,DE BRAZZA,PBDF84,421761289,6540,SCI,SCI DU TRIANGLE,179 QUAI DE BRAZZA
