,Equipement,coord_geo,DEP,DEPCOM
1819569,Hôtel,"(2.3330381559957525, 48.86524001122546)",75,75101
1819571,Hôtel,"(2.335859022536587, 48.866794837146166)",75,75101
1819606,Taxi-VTC,"(2.3495122945969857, 48.86285280744549)",75,75101
1819659,Hôtel,"(2.3347581017462837, 48.86547118249878)",75,75101
1819695,Hôtel,"(2.342622215889745, 48.86125712907654)",75,75101
1819820,Taxi-VTC,"(2.324477585514486, 48.86764127748524)",75,75101
1819891,Hôtel,"(2.327241138196287, 48.86705877882471)",75,75101
1819896,Hôtel,"(2.3436110417679292, 48.86120859583671)",75,75101
1819928,Hôtel,"(2.3362840444070487, 48.865384413827385)",75,75101
1819974,Taxi-VTC,"(2.3291772365042083, 48.86621706670745)",75,75101
1820018,Taxi-VTC,"(2.3291772365042083, 48.86621706670745)",75,75101
1820134,Taxi-VTC,"(2.3335059246656162, 48.86542644336768)",75,75101
1820185,Hôtel,"(2.333108350594296, 48.86612445911713)",75,75101
1820188,Hôtel,"(2.344229921900507, 48.86060870578617)",75,75101
1820276,Taxi-VTC,"(2.3291772365042083, 48.86621706670745)",75,75101
1820319,Taxi-VTC,"(2.3402820458782965, 48.86180148756626)",75,75101
1820354,Taxi-VTC,"(2.329815704402163, 48.8668142114261)",75,75101
1820495,Taxi-VTC,"(2.341563500308427, 48.86155079171795)",75,75101
1820788,Taxi-VTC,"(2.341335866089831, 48.863922916375344)",75,75101
1820814,Hôtel,"(2.3425604569474396, 48.86075045660273)",75,75101
1820849,Taxi-VTC,"(2.3277002176390003, 48.866175323368005)",75,75101
1820998,Taxi-VTC,"(2.333822183538337, 48.86489309329352)",75,75101
1821114,Zone Sports,"(2.332459709415757, 48.86643597363431)",75,75101
1821115,Zone Sports,"(2.3468290374640697, 48.8618746324896)",75,75101
1821116,Zone Sports,"(2.346779857547232, 48.8618833575345)",75,75101
1821118,Zone Sports,"(2.352529838112026, 48.86150989840102)",75,75101
1821125,Espace Culturel,"(2.33682194492514, 48.86654116534476)",75,75101
1821126,Zone Sports,"(2.333389312061757, 48.867295532235346)",75,75101
1821127,Espace Culturel,"(2.346499013007413, 48.85580221904303)",75,75101
1821157,Bibliothèque,"(2.344746664214845, 48.86238487047619)",75,75101
1821158,Bibliothèque,"(2.347643522876118, 48.86181612078187)",75,75101
1821165,Hôtel,"(2.335595196419512, 48.863036265052834)",75,75101
1821166,Hôtel,"(2.339855726417068, 48.862615204852766)",75,75101
1821167,Hôtel,"(2.328879567563682, 48.867948435513)",75,75101
1821168,Hôtel,"(2.336506827552671, 48.864845951710706)",75,75101
1821169,Hôtel,"(2.329545096246, 48.86485571932023)",75,75101
1821170,Hôtel,"(2.325373654037816, 48.86655542582627)",75,75101
1821171,Hôtel,"(2.336255248838616, 48.864370601301)",75,75101
1821172,Hôtel,"(2.3471110060932614, 48.85982295917183)",75,75101
1821173,Hôtel,"(2.345176809540765, 48.859178349630234)",75,75101
1821174,Hôtel,"(2.348831248202307, 48.86221290593187)",75,75101
1821175,Hôtel,"(2.337787068259757, 48.86311100803767)",75,75101
1821176,Hôtel,"(2.332396397169821, 48.86573862785008)",75,75101
