,Type,Arrêt,tag,acces_handi,coord_geo
0,metro,Malakoff - Rue Étienne Dolet,station,,"(48.815329, 2.2969858)"
1,rer,Le Bourget,station,yes,"(48.9308009, 2.4257459)"
2,tram,La Défense - Grande Arche,tram_stop,yes,"(48.8929638, 2.2378749)"
3,tram,Parc de Saint-Cloud,tram_stop,yes,"(48.8434202, 2.2219634)"
4,metro,Les Sablons,station,yes,"(48.8809365, 2.2722281)"
6,metro,George V,station,no,"(48.8720617, 2.3004148)"
7,metro,Franklin D. Roosevelt,station,no,"(48.8690339, 2.3099266)"
9,metro,Tuileries,station,no,"(48.864244, 2.330436)"
10,metro,Louvre — Rivoli,station,no,"(48.8608027, 2.3411235)"
11,metro,Châtelet,station,no,"(48.8587782, 2.3474106)"
12,metro,Saint-Paul,station,no,"(48.8553907, 2.3604173)"
13,metro,Reuilly — Diderot,station,no,"(48.8473591, 2.3868055)"
14,metro,Porte de Vincennes,station,no,"(48.8473335, 2.4080861)"
15,tram,Musée de Sèvres,tram_stop,yes,"(48.8287506, 2.2253263)"
16,metro,Marcel Sembat,station,no,"(48.8336468, 2.2435931)"
17,metro,La Motte-Picquet - Grenelle,station,limited,"(48.8489809, 2.2981916)"
18,metro,Cambronne,station,no,"(48.8475232, 2.3029457)"
19,metro,Dupleix,station,no,"(48.8504095, 2.2936611)"
20,rer,Gennevilliers,station,yes,"(48.9336382, 2.3075385)"
21,rer,Arcueil - Cachan,station,yes,"(48.7986105, 2.3280777)"
23,metro,Mairie d'Issy,station,no,"(48.8241474, 2.2731713)"
24,metro,Corentin Celton,station,no,"(48.8270526, 2.2793746)"
26,metro,Convention,station,no,"(48.8373115, 2.2966255)"
27,metro,La Défense - Grande Arche,station,yes,"(48.8916906, 2.2386641)"
28,rer,Invalides,station,yes,"(48.8628261, 2.3138373)"
30,rer,Bry-sur-Marne,station,yes,"(48.8446359, 2.5261501)"
31,rer,Noisy-Champs,station,yes,"(48.8429677, 2.580981)"
32,rer,Les Noues,station,,"(49.0323514, 2.4765282)"
33,tram,Meudon-sur-Seine,tram_stop,yes,"(48.8191867, 2.2391994)"
34,metro,Porte d'Orléans,station,yes,"(48.8236353, 2.3256519)"
35,metro,Alésia,station,no,"(48.8280318, 2.3270406)"
36,metro,Mouton-Duvernet,station,no,"(48.8312847, 2.3298549)"
37,metro,Denfert-Rochereau,station,limited,"(48.8342613, 2.3326258)"
38,metro,Raspail,station,no,"(48.8388977, 2.3306662)"
39,metro,Saint-Jacques,station,no,"(48.8330168, 2.3366295)"
40,metro,Glacière,station,no,"(48.8311288, 2.3434842)"
41,metro,Corvisart,station,no,"(48.8298121, 2.3505357)"
42,metro,Place d'Italie,station,no,"(48.8309424, 2.3559375)"
43,metro,Nationale,station,no,"(48.8332293, 2.362847)"
44,metro,Chevaleret,station,no,"(48.8349584, 2.3680641)"
45,metro,Quai de la Gare,station,no,"(48.8370598, 2.3728539)"
46,metro,Stalingrad,station,yes,"(48.8842416, 2.3670741)"
49,rer,Émerainville — Pontault-Combault,station,no,"(48.8061137, 2.6184463)"
50,rer,Les Yvris-Noisy-le-Grand,station,no,"(48.8231687, 2.5797647)"
51,rer,Les Boullereaux - Champigny,station,,"(48.8248575, 2.5118822)"
52,rer,Noisy-le-Grand — Mont d’Est,station,yes,"(48.8407958, 2.5477591)"
53,rer,Marne-la-Vallée Chessy - Parcs Disneyland (RER),station,yes,"(48.8698376, 2.782202)"
54,metro,Nation,station,no,"(48.847611, 2.3955668)"
55,metro,Château de Vincennes,station,no,"(48.8445799, 2.438912)"
56,metro,Bérault,station,no,"(48.8454473, 2.4292637)"
57,rer,Fontenay-sous-Bois,station,limited,"(48.8437078, 2.4637379)"
60,rer,Rosny - Bois-Perrier,station,,"(48.8825387, 2.4812324)"
61,metro,Buttes Chaumont,station,no,"(48.8783961, 2.3812008)"
62,metro,Bolivar,station,,"(48.8809263, 2.3739077)"
63,metro,Buzenval,station,no,"(48.8518166, 2.4013757)"
